Ref,Magic,Ticker,Symbol,Future,Side,Dir,Volume,Entry,Exit,Open,Close,Durat.Hr,Durat.Min,PTake,PStop,TP,SL,ULA Change,ULA Variat,Costs,Result,Return
GL_Real,121506,WDO,WDOJ26,J26,Short,-1,1.0,2026-03-11 11:15:09,2026-03-11 17:30:10,5175.5,5183.0,6.250277777777778,375.01666666666665,5150.0,5277.0,0.49,-1.96,7.5,0.14491353492415726,0.0,-75.0,-0.14491353492415726
GL_Real,111520,BIT,BITH26,H26,Long,1,1.0,2026-03-11 12:15:19,2026-03-11 12:32:03,363640.0,362060.0,0.2788888888888889,16.733333333333334,,362280.0,,-0.38,-1580.0,-0.4344956550434489,0.0,-15.8,-0.4344956550434489
GL_Real,111514,BIT,BITH26,H26,Long,1,1.0,2026-03-13 09:15:15,2026-03-13 11:15:03,381320.0,387640.0,1.9966666666666666,119.8,390900.0,363240.0,2.51,-4.74,6320.0,1.6574006084128854,0.0,63.2,1.6574006084128854
GL_Real,101529,WIN,WINJ26,J26,Short,-1,1.0,2026-03-13 12:30:08,2026-03-13 14:48:09,180660.0,179890.0,2.3002777777777776,138.01666666666668,179905.0,184245.0,0.42,-1.98,-770.0,-0.4262149894830145,0.0,154.0,0.4262149894830145
GL_Real,101522,WIN,WINJ26,J26,Short,-1,1.0,2026-03-16 10:45:06,2026-03-16 11:50:55,183165.0,181880.0,1.0969444444444445,65.81666666666666,181415.0,185535.0,0.96,-1.29,-1285.0,-0.7015532443425343,0.0,257.0,0.7015532443425343
GL_Real,111520,BIT,BITH26,H26,Long,1,1.0,2026-03-16 13:00:30,2026-03-16 17:30:55,387840.0,389320.0,4.506944444444445,270.4166666666667,,386240.0,,-0.42,1480.0,0.3816006600659989,0.0,14.8,0.3816006600659989
GL_Real,101546,WIN,WINJ26,J26,Short,-1,1.0,2026-03-16 16:00:18,2026-03-16 17:30:57,182800.0,182080.0,1.5108333333333333,90.65,,183670.0,,-0.51,-720.0,-0.3938730853391661,0.0,144.0,0.3938730853391661
GL_Real,111518,BIT,BITH26,H26,Short,-1,1.0,2026-03-17 09:15:38,2026-03-17 11:15:01,387700.0,385080.0,1.9897222222222222,119.38333333333334,,390640.0,,-0.76,-2620.0,-0.6757802424555024,0.0,26.2,0.6757802424555024
GL_Real,111522,BIT,BITH26,H26,Short,-1,2.0,2026-03-17 09:19:19,2026-03-17 09:31:36,387700.0,385840.0,0.20472222222222222,12.283333333333333,385800.0,407120.0,0.47,-5.03,-1860.0,-0.4797523858653676,0.0,37.2,0.4797523858653676
GL_Real,111520,BIT,BITH26,H26,Long,1,1.0,2026-03-17 09:30:26,2026-03-17 10:52:02,386060.0,384500.0,1.36,81.6,,384480.0,,-0.41,-1560.0,-0.40408226700512273,0.0,-15.6,-0.40408226700512273
GL_Real,111518,BIT,BITH26,H26,Short,-1,1.0,2026-03-18 10:05:34,2026-03-18 12:00:02,380060.0,372080.0,1.9077777777777778,114.46666666666667,,382960.0,,-0.78,-7980.0,-2.0996684733989355,0.0,79.8,2.0996684733989355
GL_Real,121529,WDO,WDOJ26,J26,Long,1,1.0,2026-03-18 10:00:20,2026-03-18 13:00:01,5244.0,5218.0,2.9947222222222223,179.68333333333334,,5181.0,,-1.26,-26.0,-0.49580472921434193,0.0,-260.0,-0.49580472921434193
GL_Real,111520,BIT,BITH26,H26,Long,1,1.0,2026-03-18 11:17:21,2026-03-18 11:43:17,375800.0,374220.0,0.43222222222222223,25.933333333333334,,374260.0,,-0.45,-1580.0,-0.42043640234167867,0.0,-15.8,-0.42043640234167867
GL_Real,111502,BIT,BITH26,H26,Short,-1,5.0,2026-03-18 12:45:26,2026-03-18 14:15:01,372320.0,372980.0,1.4930555555555556,89.58333333333333,369560.0,379800.0,0.72,-2.03,660.0,0.17726686721100293,0.0,-33.0,-0.17726686721100293
GL_Real,111518,BIT,BITH26,H26,Short,-1,1.0,2026-03-19 09:15:27,2026-03-19 09:28:31,368160.0,370520.0,0.21777777777777776,13.066666666666666,,370840.0,,-0.76,2360.0,0.6410256410256352,0.0,-23.6,-0.6410256410256352
GL_Real,121503,WDO,WDOJ26,J26,Short,-1,1.0,2026-03-19 09:30:38,2026-03-19 10:37:01,5325.5,5286.5,1.1063888888888889,66.38333333333334,5286.0,5426.5,0.73,-1.91,-39.0,-0.7323256032297394,0.0,390.0,0.7323256032297394
GL_Real,101501,WIN,WINJ26,J26,Long,1,1.0,2026-03-19 09:30:22,2026-03-19 10:58:27,177895.0,179655.0,1.4680555555555554,88.08333333333333,179655.0,173160.0,0.99,-2.66,1760.0,0.9893476488939967,0.0,352.0,0.9893476488939967
GL_Real,111522,BIT,BITH26,H26,Short,-1,2.0,2026-03-19 09:30:26,2026-03-19 09:50:54,370560.0,368440.0,0.3411111111111111,20.466666666666665,368740.0,379120.0,0.49,-2.32,-2120.0,-0.5721070811744369,0.0,42.4,0.5721070811744369
GL_Real,101515,WIN,WINJ26,J26,Short,-1,1.0,2026-03-19 09:30:24,2026-03-19 11:11:08,177885.0,180660.0,1.6788888888888889,100.73333333333333,177340.0,180650.0,0.29,-1.57,2775.0,1.559996627034323,0.0,-555.0,-1.559996627034323
GL_Real,111520,BIT,BITH26,H26,Long,1,1.0,2026-03-19 10:00:20,2026-03-19 11:31:33,366960.0,365660.0,1.5202777777777778,91.21666666666667,,365720.0,,-0.41,-1300.0,-0.3542620449095324,0.0,-13.0,-0.3542620449095324
GL_Real,121506,WDO,WDOJ26,J26,Short,-1,1.0,2026-03-19 11:15:21,2026-03-19 12:05:42,5278.5,5252.0,0.8391666666666666,50.35,5252.0,5376.0,0.49,-1.86,-26.5,-0.5020365634176471,0.0,265.0,0.5020365634176471
GL_Real,101529,WIN,WINJ26,J26,Short,-1,1.0,2026-03-19 11:15:22,2026-03-19 11:27:53,180150.0,179465.0,0.2086111111111111,12.516666666666667,179450.0,183645.0,0.39,-1.94,-685.0,-0.38023868998057253,0.0,137.0,0.38023868998057253
GL_Real,121522,WDO,WDOJ26,J26,Short,-1,1.0,2026-03-19 11:15:22,2026-03-19 12:05:42,5278.5,5252.0,0.8388888888888889,50.333333333333336,5252.0,5358.0,0.49,-1.52,-26.5,-0.5020365634176471,0.0,265.0,0.5020365634176471
GL_Real,101515,WIN,WINJ26,J26,Short,-1,1.0,2026-03-20 11:15:10,2026-03-20 14:15:01,177920.0,177855.0,2.9975,179.85,177350.0,180660.0,0.29,-1.57,-65.0,-0.03653327338129486,0.0,13.0,0.03653327338129486
GL_Real,121522,WDO,WDOJ26,J26,Short,-1,1.0,2026-03-20 11:15:21,2026-03-20 12:23:48,5315.0,5291.5,1.1408333333333334,68.45,5288.5,5395.5,0.49,-1.52,-23.5,-0.44214487300094163,0.0,235.0,0.44214487300094163
GL_Real,111520,BIT,BITH26,H26,Long,1,1.0,2026-03-20 12:15:11,2026-03-20 17:30:55,369540.0,372280.0,5.262222222222222,315.73333333333335,,368020.0,,-0.42,2740.0,0.7414623586079898,0.0,27.4,0.7414623586079898
GL_Real,101522,WIN,WINJ26,J26,Short,-1,1.0,2026-03-23 10:45:13,2026-03-23 11:18:59,181725.0,183640.0,0.5627777777777778,33.766666666666666,179930.0,183635.0,0.97,-1.07,1915.0,1.053790067409551,0.0,-383.0,-1.053790067409551
GL_Real,101546,WIN,WINJ26,J26,Short,-1,1.0,2026-03-23 10:45:13,2026-03-23 10:58:39,181735.0,182640.0,0.2238888888888889,13.433333333333334,,182655.0,,-0.51,905.0,0.4979778248548712,0.0,-181.0,-0.4979778248548712
GL_Real,111518,BIT,BITH26,H26,Short,-1,1.0,2026-03-26 09:15:30,2026-03-26 11:15:02,364240.0,363740.0,1.9922222222222221,119.53333333333333,,367020.0,,-0.76,-500.0,-0.13727212826707103,0.0,5.0,0.13727212826707103
GL_Real,111518,BIT,BITH26,H26,Short,-1,1.0,2026-03-27 09:15:40,2026-03-27 11:15:01,350140.0,346720.0,1.9891666666666667,119.35,,352800.0,,-0.77,-3420.0,-0.976752156280341,0.0,34.2,0.976752156280341
