const,tf,datetime,time,open,high,low,close,tick_volume,spread,real_volume
WIN$N,M1,2025-06-25 16:49:00,1750870140,138170.0,138185.0,138150.0,138165.0,2192,5,6688
WIN$N,M1,2025-06-25 16:50:00,1750870200,138165.0,138195.0,138130.0,138175.0,6444,5,23018
WIN$N,M1,2025-06-25 16:51:00,1750870260,138170.0,138175.0,138145.0,138165.0,2501,5,8275
WIN$N,M1,2025-06-25 16:52:00,1750870320,138165.0,138165.0,138095.0,138100.0,5803,5,19397
WIN$N,M1,2025-06-25 16:53:00,1750870380,138100.0,138120.0,138070.0,138105.0,6825,5,22471
WIN$N,M1,2025-06-25 16:54:00,1750870440,138110.0,138130.0,138080.0,138125.0,4285,5,15156
WIN$N,M1,2025-06-25 16:55:00,1750870500,138125.0,138145.0,138110.0,138125.0,3345,5,12147
WIN$N,M1,2025-06-25 16:56:00,1750870560,138125.0,138180.0,138120.0,138170.0,5314,5,18618
WIN$N,M1,2025-06-25 16:57:00,1750870620,138170.0,138175.0,138155.0,138160.0,1513,5,4589
WIN$N,M1,2025-06-25 16:58:00,1750870680,138165.0,138170.0,138135.0,138145.0,2804,5,9035
WIN$N,M1,2025-06-25 16:59:00,1750870740,138145.0,138185.0,138140.0,138155.0,3203,5,9446
WIN$N,M1,2025-06-25 17:00:00,1750870800,138155.0,138195.0,138125.0,138140.0,10146,5,30649
WIN$N,M1,2025-06-25 17:01:00,1750870860,138140.0,138200.0,138130.0,138185.0,4681,5,15563
WIN$N,M1,2025-06-25 17:02:00,1750870920,138185.0,138195.0,138165.0,138180.0,2537,5,8708
WIN$N,M1,2025-06-25 17:03:00,1750870980,138185.0,138210.0,138170.0,138175.0,3109,5,10384
WIN$N,M1,2025-06-25 17:04:00,1750871040,138175.0,138185.0,138150.0,138150.0,2269,5,6697
WIN$N,M1,2025-06-25 17:05:00,1750871100,138150.0,138160.0,138095.0,138105.0,5541,5,17255
WIN$N,M1,2025-06-25 17:06:00,1750871160,138105.0,138120.0,138100.0,138115.0,2175,5,7784
WIN$N,M1,2025-06-25 17:07:00,1750871220,138110.0,138130.0,138100.0,138120.0,1943,5,6343
WIN$N,M1,2025-06-25 17:08:00,1750871280,138115.0,138120.0,138100.0,138110.0,1276,5,4534
WIN$N,M1,2025-06-25 17:09:00,1750871340,138115.0,138115.0,138085.0,138095.0,2511,5,8693
WIN$N,M1,2025-06-25 17:10:00,1750871400,138095.0,138095.0,138030.0,138055.0,7328,5,22977
WIN$N,M1,2025-06-25 17:11:00,1750871460,138050.0,138070.0,138035.0,138070.0,2779,5,8565
WIN$N,M1,2025-06-25 17:12:00,1750871520,138065.0,138075.0,138050.0,138070.0,1429,5,3827
WIN$N,M1,2025-06-25 17:13:00,1750871580,138070.0,138080.0,138040.0,138050.0,2191,5,7553
WIN$N,M1,2025-06-25 17:14:00,1750871640,138045.0,138060.0,138025.0,138055.0,2644,5,9245
WIN$N,M1,2025-06-25 17:15:00,1750871700,138055.0,138085.0,138045.0,138085.0,2783,5,8484
WIN$N,M1,2025-06-25 17:16:00,1750871760,138080.0,138085.0,138005.0,138015.0,5691,5,17835
WIN$N,M1,2025-06-25 17:17:00,1750871820,138020.0,138020.0,137985.0,138000.0,4269,5,12062
WIN$N,M1,2025-06-25 17:18:00,1750871880,138000.0,138020.0,137975.0,138005.0,4514,5,14127
WIN$N,M1,2025-06-25 17:19:00,1750871940,138005.0,138035.0,138000.0,138010.0,2181,5,6746
WIN$N,M1,2025-06-25 17:20:00,1750872000,138005.0,138010.0,137975.0,137995.0,3291,5,9434
WIN$N,M1,2025-06-25 17:21:00,1750872060,137985.0,137990.0,137880.0,137895.0,9968,5,36863
WIN$N,M1,2025-06-25 17:22:00,1750872120,137895.0,137905.0,137835.0,137860.0,7309,5,25164
WIN$N,M1,2025-06-25 17:23:00,1750872180,137860.0,137870.0,137805.0,137840.0,5658,5,19671
WIN$N,M1,2025-06-25 17:24:00,1750872240,137840.0,137845.0,137805.0,137825.0,2600,5,8779
WIN$N,M1,2025-06-25 17:25:00,1750872300,137830.0,137845.0,137735.0,137780.0,9301,5,34959
WIN$N,M1,2025-06-25 17:26:00,1750872360,137780.0,137825.0,137765.0,137795.0,3642,5,11036
WIN$N,M1,2025-06-25 17:27:00,1750872420,137800.0,137840.0,137795.0,137810.0,3072,5,9396
WIN$N,M1,2025-06-25 17:28:00,1750872480,137810.0,137830.0,137800.0,137815.0,1476,5,4931
